probs,labels
0.7483523,1
0.7613611,1
0.8524448,0
0.7401744,1
0.71701187,1
0.89256257,1
0.7752647,0
0.754915,1
0.74539834,0
0.82275945,0
0.6041654,0
0.86431044,0
0.85536855,0
0.7772999,0
0.8344069,1
0.7364006,0
0.8080672,1
0.79438496,0
0.8370879,0
0.7975568,0
0.6169358,1
0.8221891,0
0.81405276,1
0.8633916,0
0.8056322,1
0.81699115,1
0.86613256,1
0.6662797,1
0.8610715,0
0.909907,0
0.76699245,1
0.8749346,0
0.89478946,0
0.8338664,1
0.87321484,0
0.8701566,1
0.8998277,0
0.8233284,1
0.8736466,0
0.8349459,0
0.82104415,1
0.83004373,0
0.87914675,0
0.8679338,0
0.84796774,0
0.7975568,0
0.80746067,0
0.6714706,1
0.8710367,0
0.8679338,0
0.8050198,1
0.7193836,1
0.7981868,0
0.79502225,1
0.81286734,0
0.92892635,0
0.8025555,0
0.840259,0
0.7348813,1
0.83815056,0
0.8692713,1
0.5669778,0
0.883236,0
0.7606507,0
0.8433798,0
0.81640637,1
0.89478946,1
0.8705973,1
0.5207401,0
0.7704648,0
0.8998277,0
0.83601975,1
0.8824279,0
0.6880493,1
0.84234506,1
0.8969756,1
0.7892337,1
0.891811,1
0.8407826,0
0.82893884,0
0.6719013,1
0.7570767,0
0.87705624,0
0.79565805,0
0.7806625,0
0.87536144,1
0.83004373,1
0.79246426,1
0.8558512,0
0.8370879,0
0.79438496,0
0.73411953,0
0.9241418,0
0.7577944,1
0.88563144,1
0.8407826,1
0.8504686,0
0.7468782,1
0.90397453,0
0.7352616,1
0.7806625,1
0.8146434,0
0.78464925,1
0.8824279,0
0.8998277,1
0.7606507,1
0.87191176,1
0.89552265,0
0.77662295,1
0.6675812,1
0.87621135,1
0.85919183,0
0.83815056,0
0.79692537,1
0.91181,0
0.87997437,0
0.7994423,1
0.8418256,0
0.86522406,1
0.9184803,0
0.8092759,0
0.755637,0
0.8433798,1
0.89912134,0
0.8736466,0
0.87578696,0
0.8872046,1
0.8494724,1
0.8840393,0
0.8688268,0
0.82275945,0
0.84594244,0
0.87147486,0
0.8620035,0
0.7599387,0
0.8596637,0
0.7512834,1
0.91367656,1
0.8233284,1
0.77864933,1
0.8710367,0
0.81757444,0
0.8031738,0
0.6971967,1
0.76838577,1
0.755637,1
0.9257686,0
0.8050198,0
0.8499712,0
0.7937462,0
0.6930576,0
0.8879841,0
0.6437773,1
0.81047887,1
0.9073123,0
0.87536144,1
0.8679338,0
0.8146434,1
0.8044059,1
0.85195285,1
0.8474635,1
0.7937462,0
0.9105454,0
0.8238959,0
0.70130414,1
0.81286734,1
0.91550726,1
0.88483775,0
0.73866904,0
0.8824279,0
0.8338664,0
0.7512834,1
0.8000679,0
0.89552265,1
0.8000679,0
0.78133065,1
0.91789335,0
0.8474635,1
0.8433798,0
0.75346667,0
0.8665848,0
0.7078088,0
0.7676898,0
0.8204694,0
0.7648916,0
0.86613256,1
0.8305941,0
0.7364006,0
0.87147486,1
0.8338664,1
0.76629364,0
0.86293024,1
0.86153823,1
0.77390057,0
0.80746067,1
0.8204694,0
0.8524448,1
0.9073123,0
0.8338664,1
0.7759446,1
0.7181993,1
0.7424217,1
0.89552265,0
0.880797,1
0.883236,1
0.7329743,1
0.891055,0
0.7994423,0
0.840259,1
0.86153823,0
0.8392076,0
0.7070003,1
0.81757444,0
0.83004373,1
0.82949203,0
0.7799929,1
0.85729086,0
0.79438496,0
0.7314424,0
0.78464925,0
0.8365546,1
0.92944044,0
0.91550726,0
0.8322367,1
0.8449215,1
0.8327813,0
0.8000679,1
0.89912134,0
0.883236,1
0.6220002,1
0.8025555,0
0.9219218,0
0.8688268,0
0.68763,0
0.84796774,0
0.86476797,0
0.84594244,0
0.840259,1
0.8568123,1
0.7981868,1
0.85145944,0
0.82949203,1
0.7690802,0
0.8504686,1
0.80746067,0
0.8969756,0
0.8723474,1
0.9213576,0
0.67017674,1
0.8692713,0
0.92468774,0
0.83761996,1
0.8000679,1
0.908618,1
0.8824279,0
0.9213576,0
0.89029425,1
0.7150262,1
0.7905303,1
0.82893884,1
0.8031738,0
0.79182106,1
0.7102265,0
0.8828326,0
0.8484707,1
0.7772999,1
0.8976953,1
0.86476797,1
0.88563144,0
0.7505528,1
0.8031738,1
0.78530854,0
0.8037906,0
0.8489722,1
0.755637,1
0.85633236,1
0.29543313,0
0.84234506,0
0.8879841,0
0.86476797,1
0.84286314,0
0.80746067,0
0.8962514,0
0.88038635,1
0.76629364,1
0.83004373,0
0.9092645,0
0.81757444,1
0.8624676,0
0.7041601,1
0.85919183,1
0.61947125,1
0.85195285,0
0.87147486,0
0.858244,0
0.86385167,1
0.7134316,1
0.87191176,1
0.81286734,1
0.5412876,1
0.89912134,0
0.87663436,1
0.8311431,0
0.908618,1
0.9019207,0
0.89912134,0
0.94208187,0
0.8056322,1
0.75635755,0
0.8665848,0
0.8812066,1
0.81405276,0
0.87914675,0
0.86060363,0
0.8887587,1
0.8250265,0
0.59384483,1
0.84594244,1
0.8895289,1
0.8596637,1
0.8344069,1
0.677474,1
0.9263037,0
0.86703575,1
0.88563144,1
0.7162186,1
0.7975568,1
0.8548847,0
0.8601343,0
0.6645403,1
0.7439129,1
0.8204694,0
0.88038635,0
0.92944044,0
0.86522406,1
0.6645403,1
0.7244806,1
0.8489722,0
0.8795612,0
0.7505528,1
0.7599387,1
0.85729086,1
0.95257413,1
0.8134608,0
0.8674854,1
0.8723474,0
0.7620701,1
0.7745834,1
0.7329743,0
0.88563144,0
0.86293024,0
0.8620035,1
0.91550726,0
0.8322367,1
0.9019207,1
0.80131465,1
0.8110782,0
0.7718435,1
0.88483775,0
0.88038635,0
0.648689,1
0.7962924,0
0.7752647,1
0.6838419,1
0.84594244,0
0.79565805,0
0.7937462,1
0.7126323,1
0.844409,0
0.77390057,1
0.77932185,0
0.8895289,1
0.6955449,1
0.8587186,1
0.844409,1
0.8705973,1
0.86385167,0
0.8204694,1
0.86293024,0
0.78727776,1
0.81167597,0
0.66323286,1
0.81167597,0
0.8449215,1
0.87450653,0
0.8484707,1
0.8969756,1
0.8665848,0
0.7772999,1
0.8504686,1
0.9105454,0
0.7314424,1
0.8433798,0
0.8418256,0
0.8392076,1
0.79565805,1
0.8778961,0
0.87450653,0
0.8723474,0
0.91117966,0
0.7166154,1
0.70942193,1
0.88483775,0
0.8879841,1
0.75346667,1
0.8080672,1
0.7745834,0
0.7098244,0
0.74539834,1
0.937669,1
0.7037531,0
0.84645087,1
0.80193585,0
0.86476797,0
0.89478946,0
0.79310596,1
0.73753643,0
0.8244619,0
0.8568123,1
0.8778961,0
0.7570767,1
0.93045825,0
0.82104415,1
0.91490096,0
